;lon1;lat1;tstart1;tend1;lon2;lat2;tstart2;tend2;distance;bearing;route;classified
0;-8.618643;41.141412;0.0;15.0;-8.622153;41.143815;45.0;;397.222683099144;154.55105822904264;1.0;[10000.0, 10001.0, 10002.0]
1;-8.622153;41.143815;45.0;;-8.627026500213999;41.14473750051913;75.0;90.0;420.78155276036773;172.46971416333608;1.0;[20000.0, 20001.0, 20002.0]
2;-8.627026500213999;41.14473750051913;75.0;90.0;-8.630226;41.14521;105.0;;273.0133219412018;174.09281552238815;1.0;[20000.0, 20001.0, 20002.0]
3;-8.630226;41.14521;105.0;;-8.632746;41.14692;120.0;;284.040799365468;154.5096975943547;1.0;[30000.0, 30001.0]
4;-8.632746;41.14692;120.0;;-8.629118999998147;41.15122650000035;165.0;180.0;567.0398382273971;39.68803373856122;1.0;[40000.0, 40001.0, 40002.0]
5;-8.629118999998147;41.15122650000035;165.0;180.0;-8.628744000025536;41.152365000007556;195.0;225.0;130.43080957227247;64.76756946290584;1.0;[50000.0]
6;-8.628744000025536;41.152365000007556;195.0;225.0;-8.632323;41.153022;255.0;;308.42921782084125;172.65568784034994;1.0;0
7;-8.632323;41.153022;255.0;;-8.630893800010679;41.15449980006772;270.0;330.0;203.27416201103404;35.92876970507609;1.0;0
8;-8.639847;41.159826;0.0;15.0;-8.670852;41.165136;180.0;;2661.8233321346243;172.88060156109535;2.0;[60000.0, 60001.0, 60002.0, 60003.0, 60004.0, 60005.0, 60006.0, 60007.0, 60008.0, 60009.0, 60010.0, 60011.0, 60012.0, 60013.0, 60014.0, 60015.0, 60016.0, 60017.0, 60018.0, 60019.0]
9;-8.670852;41.165136;180.0;;-8.670942;41.166576;195.0;;160.2978296197907;94.87171580205097;2.0;[70000.0]
10;-8.670942;41.166576;195.0;;-8.66961;41.167962;210.0;;190.21935109362747;37.14043631125281;2.0;0
11;-8.66961;41.167962;210.0;;-8.665753500003708;41.17065300000078;255.0;270.0;440.15737841237757;26.83992763907031;2.0;0
12;-8.614215;41.140278;30.0;;-8.616609;41.140602;75.0;;203.68697641268918;174.65860048258853;3.0;0
13;-8.616609;41.140602;75.0;;-8.618472;41.141412;90.0;;180.14065064023876;163.24979066962285;3.0;[80000.0]
14;-8.618472;41.141412;90.0;;-8.622558;41.144094;120.0;;453.8795322028157;155.46493524533417;3.0;[10000.0, 10001.0, 10002.0]
15;-8.622558;41.144094;120.0;;-8.62506;41.144805;135.0;;223.9273952556132;168.79738837804206;3.0;[90000.0, 90001.0]
16;-8.62506;41.144805;135.0;;-8.630082;41.145174;165.0;;422.5141920919926;177.05352187024118;3.0;[100000, 100001]
17;-8.630082;41.145174;165.0;;-8.6319;41.146461;180.0;;208.93377496857278;153.57579703601118;3.0;[30001.0]
18;-8.6319;41.146461;180.0;;-8.632584;41.147316;195.0;;110.99021172405804;138.7139189228597;3.0;[110000.0]
19;-8.632584;41.147316;195.0;;-8.629713;41.150628;225.0;;439.789796260729;38.9045570572336;3.0;[40000.0, 40001.0, 40002.0]
20;-8.629713;41.150628;225.0;;-8.630424;41.15277;285.0;;245.50611138742343;115.3104372385663;3.0;0
21;-8.630424;41.15277;285.0;;-8.635131;41.152563;315.0;;394.7661153051026;181.7735545179877;3.0;[120000.0, 120001.0]
22;-8.635131;41.152563;315.0;;-8.644068;41.154507;375.0;;778.8406785271376;171.21446936310537;3.0;[130000.0]
23;-8.644068;41.154507;375.0;;-8.649816000036383;41.154306000089385;420.0;585.0;481.75840240554845;181.43114938654435;3.0;[140000]
24;-8.649816000036383;41.154306000089385;420.0;585.0;-8.599383;41.141736;510.0;;4448.119161220834;350.4079941327954;3.0;0
25;-8.599383;41.141736;510.0;;-8.59653;41.140566;525.0;;272.03578787359595;344.5034354493943;3.0;[150000.0, 150001.0]
26;-8.59653;41.140566;525.0;;-8.649891;41.153166;600.0;;4682.571799331245;170.4120454250739;3.0;0
27;-8.649891;41.153166;600.0;;-8.649283499870887;41.15247300003162;615.0;630.0;92.33085931164355;320.8401686852826;3.0;[160000.0, 160001.0]
28;-8.649283499870887;41.15247300003162;615.0;630.0;-8.649711;41.151213;645.0;;144.6053938012025;244.61564288053523;3.0;[170000.0]
29;-8.649711;41.151213;645.0;;-8.649117;41.150466;660.0;;96.81365273779957;318.0873881013275;3.0;0
30;-8.649117;41.150466;660.0;;-8.649117;41.149062;675.0;;156.1176770090549;270.02816271517804;3.0;0
31;-8.649117;41.149062;675.0;;-8.648518499974058;41.14824300003861;690.0;705.0;103.94599663623902;315.6915046575293;3.0;0
32;-8.648518499974058;41.14824300003861;690.0;705.0;-8.64594;41.148414;735.0;;216.73539081957296;2.702365034817319;3.0;[180000, 180001]
33;-8.64594;41.148414;735.0;;-8.642763;41.148027;765.0;;269.47115983388653;355.0604936598137;3.0;[190000.0]
34;-8.642763;41.148027;765.0;;-8.637759;41.148351;795.0;;420.5355731710655;2.617144149135811;3.0;0
35;-8.637759;41.148351;795.0;;-8.635338;41.147964;810.0;;207.22984574037105;353.5771092836877;3.0;[200000.0, 200001.0, 200002.0]
36;-8.635338;41.147964;810.0;;-8.633277;41.147172;825.0;;193.7432762552734;344.8881317620481;3.0;[210000.0, 210001.0]
37;-8.633277;41.147172;825.0;;-8.629776;41.14503;855.0;;377.7130683241997;336.81398125617545;3.0;[220000.0, 220001.0, 220002.0]
38;-8.629776;41.14503;855.0;;-8.624088;41.144463;900.0;;480.44124233131316;356.0300249119243;3.0;0
39;-8.624088;41.144463;900.0;;-8.621325;41.143401;915.0;;259.75778172866814;345.0609675629319;3.0;0
40;-8.621325;41.143401;915.0;;-8.617365;41.140863;945.0;;435.4376411901318;336.11017002133656;3.0;0
41;-8.617365;41.140863;945.0;;-8.61597;41.14053;960.0;;122.54593378130028;350.6421772485497;3.0;[230000.0, 230001.0]
42;-8.574678;41.151951;0.0;90.0;-8.575164;41.150934;105.0;;120.18338450266093;234.11902935823844;4.0;0
43;-8.575164;41.150934;105.0;;-8.577135;41.150232;120.0;;182.5576497334243;193.26295008493526;4.0;0
44;-8.577135;41.150232;120.0;;-8.579745;41.147316;150.0;;391.0144589977218;216.57991654536642;4.0;[240000]
45;-8.579745;41.147316;150.0;;-8.579358;41.146173;165.0;;131.16173000728244;297.05745760577975;4.0;[250000]
46;-8.579358;41.146173;165.0;;-8.580744;41.14503;180.0;;172.11116279318043;208.72657134324834;4.0;[260000]
47;-8.580744;41.14503;180.0;;-8.582904;41.14512;195.0;;181.1440232801284;178.41028936266554;4.0;[270000, 270001]
48;-8.582904;41.14512;195.0;;-8.58438;41.146479;210.0;;195.21841965120717;148.4304132331013;4.0;[280000.0]
49;-8.58438;41.146479;210.0;;-8.610849;41.145876;225.0;;2217.355649713066;180.89629915951116;4.0;0
50;-8.610849;41.145876;225.0;;-8.609013000064854;41.14696050000876;255.0;270.0;195.38767092424038;22.03513287655204;4.0;[290000.0]
51;-8.609013000064854;41.14696050000876;255.0;270.0;-8.586027;41.148702;285.0;;1934.366562509141;2.8991281988253945;4.0;0
52;-8.586027;41.148702;285.0;;-8.587197;41.149224;300.0;;113.86845853291402;163.37378238687236;4.0;[300000.0, 300001.0, 300002.0]
53;-8.587197;41.149224;300.0;;-8.588205;41.148963;315.0;;89.24999677980247;189.84216093996463;4.0;[310000]
54;-8.588205;41.148963;315.0;;-8.588835;41.147604;330.0;;160.0562942174374;235.35914148782922;4.0;[320000.0]
55;-8.588835;41.147604;330.0;;-8.590176;41.147082;345.0;;126.39980494351482;194.64889267861497;4.0;0
56;-8.590176;41.147082;345.0;;-8.594721;41.146245;375.0;;391.78111159514805;187.08447983507028;4.0;0
57;-8.594721;41.146245;375.0;;-8.598753000008644;41.14611000001716;405.0;420.0;337.94697808740034;181.30007048134098;4.0;0
58;-8.598753000008644;41.14611000001716;405.0;420.0;-8.602564500075658;41.14572750021023;465.0;480.0;321.973013999017;183.9073457094545;4.0;[330000.0, 330001.0, 330002.0]
59;-8.602564500075658;41.14572750021023;465.0;480.0;-8.604045;41.145417;510.0;;128.68664678613618;188.1364321807083;4.0;[330000.0, 330001.0, 330002.0]
60;-8.604045;41.145417;510.0;;-8.605854;41.142555;540.0;;352.45211074975185;227.2502170234702;4.0;[340000, 340001]
61;-8.605854;41.142555;540.0;;-8.607985499985144;41.142862500001335;555.0;630.0;181.73294405733466;174.35979509613216;4.0;0
